candidate,direction,status,n,win_rate,strict_win_rate,sortino,total_expectancy,timeout_fraction,dominant_coin,max_coin_share,dominant_year,max_year_share,n_shock_excluded,pattern_significant,pattern_p_value,pattern_oos_sd,pattern_excess_return,pattern_mfe_mae_ratio,fdr_alpha,fdr_significant,fdr_demoted,prior_weight
hawkish jobless claims surprise + volume-confirmed breakdown,short,watch,195,0.6834532374100719,0.48717948717948717,-3.974798275457065,-4.63198279408814,0.28717948717948716,LTCUSDT,1.0,2021.0,0.7472200475995739,39,False,0.4315,0.12593643790231593,0.005273665619012144,0.6972975764164236,0.05,False,,1.0
hawkish jobless claims surprise + oversold bollinger reversion,long,rejected,225,0.3181818181818182,0.24888888888888888,5.964692316449615,2.896575881468016,0.21777777777777776,DOGEUSDT,0.5429350649429594,2021.0,0.561423172256868,11,True,0.006,0.4919853678934707,0.04963736904513885,2.4908103976650775,0.05,False,True,1.0
hawkish_claims_surprise_then_oversold_reversion,long,rejected,125,0.375,0.312,14.638483332126253,3.0096547157728333,0.168,ADAUSDT,0.2612387090060935,2026.0,0.32841743765600645,13,False,0.2125,0.10287637018133522,0.022766512224945495,5.642169722195772,0.05,False,,1.0
hawkish jobless-claims surprise with neutral-bearish RSI,short,watch,334,0.49615384615384617,0.38622754491017963,-0.4427902001125006,-0.4799211202234752,0.2215568862275449,BNBUSDT,0.6913473533785953,2026.0,1.0,19,False,0.9995,0.3841263164377079,-0.048297945945111526,0.46058107638984236,0.05,False,,1.0
"hawkish jobless-claims surprise in a choppy, low-efficiency market",short,watch,416,0.44694533762057875,0.33413461538461536,-2.336016632819215,-3.566443662958496,0.25240384615384615,BTCUSDT,1.0,2025.0,0.6420518150503158,24,False,0.9705,0.49404443020371897,-0.051463554801170826,0.785758995232751,0.05,False,,1.0
hawkish_claims_surprise_with_volume_breakout_short,short,watch,276,0.4528301886792453,0.34782608695652173,-6.576569737225129,-10.195732512171823,0.2318840579710145,,,,,53,False,0.5585,0.15737951804998115,-0.006816040073378958,0.49187898811648584,0.05,False,,1.0
weak_claims_then_volume_confirmed_breakout,long,rejected,959,0.2968944099378882,0.2492179353493222,7.497675879986974,17.441566859287903,0.16058394160583941,XRPUSDT,0.3512620721722949,2020.0,0.30196253456064015,160,False,0.4055,0.39813315027867474,0.012857187231223463,1.9716334227009475,0.05,False,,1.0
hawkish_rate_surprise_then_overbought_breakout_fade,short,watch,119,0.3269230769230769,0.2857142857142857,-7.147022437790291,-3.8818809738211923,0.12605042016806722,DOGEUSDT,0.9752144906334667,2022.0,0.917834470745205,5,False,0.5845,0.25999295012016505,0.01389569634534897,0.7837650976732076,0.05,False,,1.0
hawkish_rate_surprise_overbought_rsi_reversal,,insufficient_data,0,,,,,,,,,,2,,,,,,,,,
hawkish_rate_surprise_then_oversold_bounce,long,watch,301,0.5093632958801498,0.45182724252491696,-2.4189152475034845,-2.6304903086966283,0.11295681063122924,BNBUSDT,1.0,2026.0,0.5102131388178589,110,False,1.0,0.13683421665266526,-0.03544524177025807,0.9317805895753609,0.05,False,,1.0
hawkish_rate_surprise_then_volume_spike_continuation,,insufficient_data,0,,,,,,,,,,35,,,,,,,,,
jobless_claims_beat_momentum_continuation,long,rejected,135,0.7108433734939759,0.43703703703703706,11.178394498641927,5.040145840194307,0.3851851851851852,XRPUSDT,0.4164274406998852,2021.0,0.39867954402838424,16,False,0.362,0.19738673912623264,0.0004048815341414977,1.8300354493792164,0.05,False,,1.0
rate_surprise_then_oversold_bounce,long,watch,255,0.7316017316017316,0.6627450980392157,-2.7055270412913073,-1.941450398712926,0.09411764705882353,XRPUSDT,0.4804448778365756,2024.0,0.9787577071241682,4,True,0.047,0.16157919051927158,0.022052923820333685,1.2771031715043561,0.05,False,,1.0
dovish_rate_surprise_then_volume_breakout,long,watch,103,0.6705882352941176,0.5533980582524272,-3.6952483336748645,-1.4795590153384557,0.17475728155339806,ADAUSDT,0.5534074602426249,2024.0,0.9541832470719348,18,False,0.779,0.20299949653480104,-0.04236365599885055,0.8421542825553303,0.05,False,,1.0
hot_cpi_surprise_with_weak_momentum,short,watch,142,0.33587786259541985,0.30985915492957744,1.3547531025556707,0.3495330170980631,0.07746478873239436,BTCUSDT,0.6974509160499656,2025.0,1.0,0,False,0.718,0.17637000608653822,-0.020049170865620927,0.6815453769648873,0.05,False,,1.0
hawkish_claims_crowded_funding_short,short,watch,166,0.3793103448275862,0.3313253012048193,-2.965460094893961,-1.2744878624467029,0.12650602409638553,,,2025.0,1.0,4,False,0.831,0.129632817498167,-0.012602706103055684,0.6506995381773415,0.05,False,,1.0
hawkish_claims_rising_volume_short,short,watch,330,0.3373493975903614,0.2545454545454545,-4.1275076995103674,-4.972611683290502,0.24545454545454545,,,2025.0,1.0,49,False,0.657,0.20815199297565498,-0.0071258238592819614,0.6348297564480293,0.05,False,,1.0
hawkish_jobless_claims_surprise_then_oversold_continuation,short,watch,336,0.32781456953642385,0.29464285714285715,-6.135764995231271,-5.720506484656122,0.10119047619047619,DOGEUSDT,1.0,2023.0,1.0,15,False,0.9245,0.16222451914320607,-0.03585570149794396,0.6031835073632074,0.05,False,,1.0
