strategy,timeframe,entry_preset_idx,exit_preset,period,total_trades,win_rate,sortino_ratio,net_profit_pct,backtest_days
VolatilityBreakoutKCSqueeze,15m,2,wide,OOS,1272,0.2398,-25.246,-78.449,360
VolatilityBreakoutKCSqueeze,15m,2,sl_only_trailing,IS,2826,0.2926,-22.11,-95.777,733
VolatilityBreakoutKCSqueeze,15m,2,sl_only_trailing,OOS,1311,0.2578,-28.406,-86.459,360
VolatilityBreakoutKCSqueeze,1h,0,null_null,IS,412,0.3155,-1.19,-25.791,732
VolatilityBreakoutKCSqueeze,1h,0,null_null,OOS,208,0.2885,-3.775,-36.826,360
VolatilityBreakoutKCSqueeze,1h,0,tight,IS,473,0.3615,-1.953,-25.489,732
VolatilityBreakoutKCSqueeze,1h,0,tight,OOS,241,0.2946,-5.711,-35.997,360
VolatilityBreakoutKCSqueeze,1h,0,wide,IS,433,0.321,-2.273,-40.185,732
VolatilityBreakoutKCSqueeze,1h,0,wide,OOS,217,0.2903,-3.949,-32.852,360
VolatilityBreakoutKCSqueeze,1h,0,sl_only_trailing,IS,477,0.4088,-3.914,-60.428,732
VolatilityBreakoutKCSqueeze,1h,0,sl_only_trailing,OOS,240,0.3417,-5.348,-43.527,360
VolatilityBreakoutKCSqueeze,1h,1,null_null,IS,287,0.3659,1.009,38.345,732
VolatilityBreakoutKCSqueeze,1h,1,null_null,OOS,146,0.3288,-2.684,-30.19,360
VolatilityBreakoutKCSqueeze,1h,1,tight,IS,422,0.4076,-0.403,-5.945,732
VolatilityBreakoutKCSqueeze,1h,1,tight,OOS,201,0.3134,-4.891,-30.695,360
VolatilityBreakoutKCSqueeze,1h,1,wide,IS,338,0.3757,-0.167,-4.697,732
VolatilityBreakoutKCSqueeze,1h,1,wide,OOS,157,0.3312,-2.539,-24.794,360
VolatilityBreakoutKCSqueeze,1h,1,sl_only_trailing,IS,417,0.5084,-2.68,-52.362,732
VolatilityBreakoutKCSqueeze,1h,1,sl_only_trailing,OOS,187,0.4225,-4.433,-38.859,360
VolatilityBreakoutKCSqueeze,1h,2,null_null,IS,349,0.3123,-1.117,-23.224,732
VolatilityBreakoutKCSqueeze,1h,2,null_null,OOS,167,0.3114,-3.1,-31.691,360
VolatilityBreakoutKCSqueeze,1h,2,tight,IS,369,0.3604,-2.212,-27.782,732
VolatilityBreakoutKCSqueeze,1h,2,tight,OOS,175,0.3029,-3.666,-22.742,360
VolatilityBreakoutKCSqueeze,1h,2,wide,IS,356,0.3174,-2.171,-37.858,732
VolatilityBreakoutKCSqueeze,1h,2,wide,OOS,167,0.3114,-3.146,-26.894,360
VolatilityBreakoutKCSqueeze,1h,2,sl_only_trailing,IS,368,0.4266,-3.62,-55.809,732
VolatilityBreakoutKCSqueeze,1h,2,sl_only_trailing,OOS,173,0.3584,-4.291,-34.863,360
VolatilityBreakoutKCSqueeze,4h,0,null_null,IS,107,0.3832,1.467,91.889,725
VolatilityBreakoutKCSqueeze,4h,0,null_null,OOS,57,0.2456,-2.062,-38.43,360
VolatilityBreakoutKCSqueeze,4h,0,tight,IS,134,0.3657,-0.09,-2.573,725
VolatilityBreakoutKCSqueeze,4h,0,tight,OOS,65,0.2923,-2.683,-34.27,360
VolatilityBreakoutKCSqueeze,4h,0,wide,IS,114,0.3684,0.287,15.213,725
VolatilityBreakoutKCSqueeze,4h,0,wide,OOS,59,0.2712,-2.015,-34.802,360
VolatilityBreakoutKCSqueeze,4h,0,sl_only_trailing,IS,134,0.4552,-1.0,-37.3,725
VolatilityBreakoutKCSqueeze,4h,0,sl_only_trailing,OOS,63,0.381,-1.823,-31.797,360
VolatilityBreakoutKCSqueeze,4h,1,null_null,IS,75,0.4667,1.163,90.767,725
VolatilityBreakoutKCSqueeze,4h,1,null_null,OOS,43,0.3488,-0.831,-16.358,360
VolatilityBreakoutKCSqueeze,4h,1,tight,IS,119,0.4034,-0.188,-5.228,725
VolatilityBreakoutKCSqueeze,4h,1,tight,OOS,57,0.4035,-0.929,-12.689,360
VolatilityBreakoutKCSqueeze,4h,1,wide,IS,90,0.4333,0.277,17.525,725
VolatilityBreakoutKCSqueeze,4h,1,wide,OOS,45,0.3778,-0.629,-12.219,360
VolatilityBreakoutKCSqueeze,4h,1,sl_only_trailing,IS,113,0.5133,-0.714,-32.281,725
VolatilityBreakoutKCSqueeze,4h,1,sl_only_trailing,OOS,55,0.4909,-0.941,-18.874,360
VolatilityBreakoutKCSqueeze,4h,2,null_null,IS,39,0.3846,0.605,42.794,725
VolatilityBreakoutKCSqueeze,4h,2,null_null,OOS,14,0.6429,0.113,2.21,360
VolatilityBreakoutKCSqueeze,4h,2,tight,IS,41,0.3902,0.141,3.995,725
VolatilityBreakoutKCSqueeze,4h,2,tight,OOS,15,0.6,0.114,1.455,360
